origin,55,30,25
vertex,506,0.80,-0.80,0.22
vertex,507,0.71,-0.71,0.25
vertex,508,0.62,-0.62,0.22
vertex,509,0.55,-0.55,0.12
vertex,510,0.53,-0.53,0.00
vertex,511,0.55,-0.55,-0.12
vertex,512,0.62,-0.62,-0.22
vertex,513,0.71,-0.71,-0.25
vertex,514,0.80,-0.80,-0.22
vertex,515,0.86,-0.86,-0.12
vertex,516,0.99,-0.76,0.00
vertex,517,0.97,-0.74,0.12
vertex,518,0.89,-0.68,0.22
vertex,519,0.79,-0.61,0.25
vertex,520,0.69,-0.53,0.22
vertex,521,0.62,-0.48,0.12
vertex,522,0.60,-0.46,0.00
vertex,523,0.62,-0.48,-0.12
vertex,524,0.69,-0.53,-0.22
vertex,525,0.79,-0.61,-0.25
vertex,526,0.89,-0.68,-0.22
vertex,527,0.97,-0.74,-0.12
vertex,528,1.08,-0.63,0.00
vertex,529,1.05,-0.61,0.12
vertex,530,0.97,-0.56,0.22
vertex,531,0.87,-0.50,0.25
vertex,532,0.76,-0.44,0.22
vertex,533,0.68,-0.39,0.12
vertex,534,0.65,-0.38,0.00
vertex,535,0.68,-0.39,-0.12
vertex,536,0.76,-0.44,-0.22
vertex,537,0.87,-0.50,-0.25
vertex,538,0.97,-0.56,-0.22
vertex,539,1.05,-0.61,-0.12
vertex,540,1.15,-0.48,0.00
vertex,541,1.12,-0.47,0.12
vertex,542,1.04,-0.43,0.22
vertex,543,0.92,-0.38,0.25
vertex,544,0.81,-0.33,0.22
vertex,545,0.72,-0.30,0.12
vertex,546,0.69,-0.29,0.00
vertex,547,0.72,-0.30,-0.12
vertex,548,0.81,-0.33,-0.22
vertex,549,0.92,-0.38,-0.25
vertex,550,1.04,-0.43,-0.22
vertex,551,1.12,-0.47,-0.12
vertex,552,1.21,-0.32,0.00
vertex,553,1.18,-0.31,0.12
vertex,554,1.09,-0.29,0.22
vertex,555,0.97,-0.26,0.25
vertex,556,0.85,-0.23,0.22
vertex,557,0.76,-0.20,0.12
vertex,558,0.72,-0.19,0.00
vertex,559,0.76,-0.20,-0.12
vertex,560,0.85,-0.23,-0.22
vertex,561,0.97,-0.26,-0.25
vertex,562,1.09,-0.29,-0.22
vertex,563,1.18,-0.31,-0.12
vertex,564,1.24,-0.16,0.00
vertex,565,1.21,-0.16,0.12
vertex,566,1.12,-0.15,0.22
vertex,567,0.99,-0.13,0.25
vertex,568,0.87,-0.11,0.22
vertex,569,0.78,-0.10,0.12
vertex,570,0.74,-0.10,0.00
vertex,571,0.78,-0.10,-0.12
vertex,572,0.87,-0.11,-0.22
vertex,573,0.99,-0.13,-0.25
vertex,574,1.12,-0.15,-0.22
vertex,575,1.21,-0.16,-0.12
edge,0,1
edge,257,258
edge,514,515
edge,0,11
edge,0,12
edge,257,269
edge,514,526
edge,16,17
edge,273,274
edge,530,531
edge,16,28
edge,273,285
edge,530,542
edge,32,33
edge,289,290
edge,546,547
edge,32,44
edge,289,301
edge,546,558
edge,48,49
edge,305,306
edge,562,563
edge,2,566
edge,48,59
edge,48,60
edge,305,317
edge,562,574
edge,64,65
edge,321,322
edge,64,76
edge,321,333
edge,80,81
edge,337,338
edge,80,92
edge,337,349
edge,96,97
edge,353,354
edge,96,107
edge,96,108
edge,353,365
edge,112,113
edge,369,370
edge,112,124
edge,369,381
edge,128,129
edge,385,386
edge,128,140
edge,385,397
edge,144,145
edge,401,402
edge,144,155
edge,144,156
edge,401,413
edge,160,161
edge,417,418
edge,160,172
edge,417,429
edge,176,177
edge,433,434
edge,176,188
edge,433,445
edge,192,193
edge,449,450
edge,192,203
edge,192,204
edge,449,461
edge,208,209
edge,465,466
edge,208,220
edge,465,477
edge,224,225
edge,481,482
edge,224,236
edge,481,493
edge,240,241
edge,497,498
edge,240,251
edge,240,252
edge,497,509
edge,256,257
edge,1,2
edge,256,268
edge,1,13
edge,515,527
edge,272,273
edge,17,18
edge,531,532
edge,272,284
edge,17,29
edge,531,543
edge,288,289
edge,33,34
edge,547,548
edge,288,299
edge,288,300
edge,33,45
edge,547,559
edge,304,305
edge,49,50
edge,3,567
edge,304,316
edge,49,61
edge,563,575
edge,320,321
edge,65,66
edge,320,332
edge,65,77
edge,336,337
edge,81,82
edge,336,347
edge,336,348
edge,81,93
edge,352,353
edge,97,98
edge,352,364
edge,97,109
edge,368,369
edge,113,114
edge,8,572
edge,368,380
edge,113,125
edge,384,385
edge,129,130
edge,384,395
edge,384,396
edge,129,141
edge,400,401
edge,145,146
edge,400,412
edge,145,157
edge,416,417
edge,161,162
edge,416,428
edge,161,173
edge,432,433
edge,177,178
edge,432,443
edge,432,444
edge,177,189
edge,448,449
edge,193,194
edge,448,460
edge,193,205
edge,464,465
edge,209,210
edge,464,476
edge,209,221
edge,480,481
edge,225,226
edge,480,491
edge,480,492
edge,225,237
edge,496,497
edge,241,242
edge,496,508
edge,241,253
edge,512,513
edge,2,3
edge,259,260
edge,512,524
edge,2,14
edge,259,271
edge,528,529
edge,18,19
edge,528,539
edge,528,540
edge,18,30
edge,275,287
edge,544,545
edge,34,35
edge,291,292
edge,544,556
edge,34,46
edge,291,303
edge,560,561
edge,50,51
edge,307,308
edge,560,572
edge,50,62
edge,307,319
edge,66,67
edge,66,78
edge,323,335
edge,82,83
edge,339,340
edge,82,94
edge,339,351
edge,98,99
edge,355,356
edge,98,110
edge,355,367
edge,114,115
edge,114,126
edge,371,383
edge,130,131
edge,387,388
edge,130,142
edge,387,399
edge,146,147
edge,403,404
edge,146,158
edge,403,415
edge,162,163
edge,162,174
edge,419,431
edge,178,179
edge,435,436
edge,178,190
edge,435,447
edge,194,195
edge,451,452
edge,194,206
edge,451,463
edge,210,211
edge,210,222
edge,467,479
edge,226,227
edge,483,484
